make,category,year,transmission,color,fuel,engine_size,mileage,price
Toyota,Pickup,2018,manual,silver,diesel,2835,115425,33093
Mercedes-Benz,Hatchback,2014,manual,red,petrol,2295,91800,10462
Honda,Sedan,2019,CVT,white,hybrid,2196,49316,31396
BMW,SUV,2010,automatic,white,petrol,2835,193934,4422
Honda,Coupe,2003,automatic,silver,diesel,2000,448160,4534
Hyundai,Sedan,2005,manual,white,petrol,2475,263844,2666
Toyota,Minivan,2016,automatic,red,diesel,2606,206066,17241
Lexus,Sedan,1997,manual,green,petrol,1500,251394,51950
Honda,Coupe,1993,automatic,red,diesel,2196,718110,40177
Volkswagen,Hatchback,2018,automatic,grey,electric,1,49110,23090
BMW,SUV,2019,manual,silver,diesel,2803,108508,39986
Kia,Wagon,2009,manual,black,diesel,2000,310604,601
Toyota,Pickup,1997,CVT,grey,hybrid,2196,384696,121932
Honda,SUV,2005,automatic,silver,diesel,2967,412200,24158
BMW,SUV,2008,manual,grey,diesel,2475,293295,12406
Mercedes-Benz,Sedan,2016,manual,grey,petrol,1606,67130,16367
BMW,SUV,2011,automatic,red,diesel,2967,265668,17536
Toyota,Wagon,2013,manual,blue,diesel,1606,271250,11021
Kia,Sedan,2020,automatic,silver,petrol,1606,35634,24593
BMW,SUV,2018,manual,silver,diesel,2786,129630,24811
Toyota,Minivan,2001,manual,red,petrol,2475,283030,24161
Volkswagen,Convertible,2000,CVT,red,hybrid,1500,267375,60358
Hyundai,Sedan,2020,automatic,green,petrol,2213,25893,19206
Volkswagen,Sedan,2005,automatic,red,diesel,1606,431604,8455
Hyundai,SUV,2019,automatic,silver,petrol,2835,35368,27419
Volkswagen,Sedan,1997,manual,blue,petrol,1721,271830,52928
FIAT,Hatchback,2019,manual,red,diesel,2196,113752,19317
Audi,Sedan,2016,manual,red,petrol,2295,90475,32761
Hyundai,Coupe,2012,manual,black,diesel,1500,243639,3396
BMW,Convertible,2016,manual,blue,petrol,1836,103481,21118
Volkswagen,Hatchback,2003,manual,silver,diesel,1983,532600,12543
Toyota,Pickup,2020,CVT,green,hybrid,2967,43659,63891
Mercedes-Benz,Sedan,2000,automatic,silver,electric,1,269399,31666
Kia,SUV,1998,manual,green,petrol,2295,226975,22931
Toyota,Sedan,2004,manual,grey,petrol,2295,220723,1281
Hyundai,Sedan,2018,manual,green,diesel,1836,121980,15223
BMW,SUV,2012,manual,black,petrol,2000,106755,23051
Lexus,SUV,2015,automatic,red,hybrid,2557,105544,43550
Volkswagen,Sedan,2009,automatic,blue,petrol,1606,122192,5559
Volvo,Sedan,2000,manual,black,petrol,1836,326301,5703
Lexus,Sedan,2016,manual,red,petrol,2196,60046,19163
Audi,Coupe,2015,automatic,blue,petrol,1721,99648,8963
Hyundai,SUV,2019,manual,green,petrol,2475,49152,21811
Ferrari,Coupe,2007,manual,silver,petrol,1721,148576,59810
Mercedes-Benz,Sedan,2013,manual,black,petrol,1606,93400,0
Volvo,Sedan,2000,automatic,red,petrol,2295,201641,44909
Mercedes-Benz,Sedan,2009,manual,red,diesel,1721,316582,12051
Lexus,Convertible,2004,manual,silver,petrol,1836,266114,47638
Kia,SUV,2003,manual,green,petrol,2835,185680,12380
Lexus,Sedan,2003,manual,white,petrol,2000,253720,22471
Toyota,SUV,1996,manual,blue,diesel,2000,744876,25569
Hyundai,Sedan,2019,automatic,red,diesel,2295,78536,23645
Honda,Sedan,2007,manual,white,petrol,2000,237248,7385
Mercedes-Benz,Sedan,1993,automatic,black,petrol,2213,264120,82135
Audi,Coupe,2013,manual,blue,diesel,2000,253970,5967
Volvo,Sedan,2005,automatic,red,petrol,1606,156708,27909
BMW,Sedan,2003,automatic,silver,diesel,2196,454800,40682
Lexus,Coupe,1998,CVT,green,hybrid,2295,314875,91959
Volkswagen,Sedan,2001,manual,green,diesel,2295,571010,9931
Mercedes-Benz,Convertible,2018,manual,black,diesel,2000,94125,31218
Mercedes-Benz,Convertible,2005,manual,silver,diesel,1721,432018,33321
Audi,Sedan,2006,automatic,green,diesel,1836,329783,906
Toyota,SUV,2002,manual,black,petrol,2475,249795,22398
Volkswagen,Hatchback,2007,manual,blue,diesel,2213,447824,1093
Audi,Sedan,2014,manual,green,petrol,2000,112779,9808
Honda,Sedan,2019,automatic,silver,electric,1,35984,43554
Mercedes-Benz,Convertible,1999,automatic,red,petrol,1606,201744,49199
Toyota,SUV,1996,manual,red,diesel,2786,643518,83101
Mercedes-Benz,SUV,2008,automatic,red,petrol,1836,123750,11040
Lexus,Sedan,2018,CVT,blue,hybrid,1721,56180,37116
Volkswagen,Sedan,2006,manual,green,petrol,1836,153289,6558
Mercedes-Benz,SUV,2018,automatic,black,petrol,2196,54900,35490
Mercedes-Benz,Coupe,2008,manual,blue,petrol,1606,206670,8423
BMW,Sedan,1993,manual,green,diesel,1983,839970,76023
Kia,Wagon,2018,CVT,silver,hybrid,2835,72630,19710
Volkswagen,Wagon,2000,manual,white,petrol,2196,297367,33513
Toyota,Coupe,1993,automatic,white,diesel,1836,724380,45633
Honda,Convertible,2007,manual,green,diesel,2213,353312,7351
Porsche,Coupe,2012,manual,red,petrol,2213,147466,92379
Audi,Sedan,2015,manual,red,diesel,2196,137536,24754
Honda,SUV,2007,automatic,silver,diesel,2000,359584,5965
Volvo,Wagon,2018,automatic,green,diesel,2295,122445,29253
Hyundai,Hatchback,2016,automatic,white,diesel,2196,138824,16361
Lexus,Sedan,1993,manual,green,petrol,1983,434640,77387
Toyota,Sedan,2002,automatic,grey,petrol,1983,237741,16245
Volkswagen,Wagon,2016,automatic,grey,diesel,2967,127092,14368
Toyota,SUV,2018,manual,green,petrol,2967,62320,21641
Hyundai,Sedan,2004,manual,white,diesel,1606,543552,19439
Volkswagen,Convertible,1998,CVT,grey,hybrid,1606,340025,53611
Mercedes-Benz,Convertible,2014,automatic,red,petrol,1721,82467,5210
Kia,Sedan,2005,automatic,red,petrol,1836,249948,24697
Lexus,SUV,2008,CVT,green,hybrid,2606,202155,49903
Hyundai,Sedan,2012,manual,green,diesel,2475,254430,15033
Audi,Coupe,2011,automatic,blue,diesel,1500,343344,2900
Hyundai,Hatchback,1996,manual,blue,petrol,2000,329805,43440
BMW,SUV,2011,manual,green,petrol,2000,127608,18830
Lexus,SUV,2000,CVT,red,hybrid,2557,286235,141370
Volvo,Wagon,2017,manual,green,petrol,2835,56700,29378
