Review	Sentiment
Izgleda da su posustali sa kvalitetom. Ranije su im pice bile ukusnije a stizale pre vremena. Valjda ih krenulo pa ne ,are više...	0
Pizza je odlicna, puna maslina i kackavalja! Ma, sve preporuke!	1
Mogla je biti i bolja :)	0
Dodatni prilozi su bili poruceni (sunkarica i feferoni), naplaceni su ali uopste nisu bili stavljeni na picu.	0
Narucili smo  Bela vešalica lanč paket 300 grama i Caciki salata - plasticno, ukus je plastika. A Caciki salata nema veze sa istom. Prilozi ne verujem da neko ima tako male priloge ... lose	0
sve bi odlicno	1
Najavljenih 50 minuta za dostavu se pretvorilo u 85 minuta, a ja i dalje gladan čekam hranu. Krajnje neprofesionalno!	0
Odlicno kao i uvek samo pomfrit malkice zagoreo, al mogao je da se jede	1
Ja sam prezadovoljan sa ovim restoranom. Pretplaticu se na njih.	1
Ruzniju palacinku nisam jeo u zivotu.	0
Hladna pizza, isporuka na pogrsnu adresu, pizza ne bas nekog ukusa, sve u svemu - vise ne porucujem.	0
Burito sa piletinom je fantastican!	1
Definitivno najukusnija pica u Beogradu	1
sve pohvale	1
Uzeli smo dve Diavolo pice i ispale su super! Punjena korica je baš lepa, a sa susamom bi bila još lepša. :)	1
Murg makani skroz ok i lepog ukusa mada bi moglo biti jos malo zacina. Tika masala losa, jedva da smo je jeli. Panir pakora ok. Nan presmesan :) vise podseca na strasno losu lepinju za giros.	0
Sve ukusno i na vreme! Preporuka!	1
Lazanje posle par zalogaja zavrsile u kanti. Bile su skroz techne kao corba, mogao sam je jesti kasikom. Ukus nikakav. Veoma razocaran i ostao gladan.	0
Stigli mnogo pre roka, pica ukusna, nije previse masna, taman kako treba. Ono sto nas je odusevilo je sto su maslinke na pici bez kostica sto obicno nije praksa picerija. Sve u svemu svaka preporuka.	1
Dakle, biftek od 300gr, vaga kaze da je nesto ispod 200gr, i to jos natopljen sosem. Budimo fer i da 300 bude 300.	0
Stigle su hladne palacinke, dostava je kasnila sat vremena.	0
skupo,a pritom male porcije. Ali su stigli pre vremena.	0
Sve preporuke, hrana je dostavljena na vreme,po ukusu ocigledno je sveza, manja porcija je veoma obilna . Preporuke	1
Value chicken bucket, usual good nothing too extraordinary. Fries were soggy when arrived.	0
odlicna pizza!!	1
narucili smo u 18.10h, stiglo je u 18.35h :), super hrana	1
Nisam zadovoljan....	0
Vrhunska hrana, solidan izbor i cene...	1
Ne znam kako vam je ovo pošlo za rukom...	0
Suze nam jos idu. Ne preporucujem ljudima sa osetljivim zeludcem. :D	1
Super je hrana, brza dostava	0
Vise soje nego meso. Nista posebno. Isporuka kasnila.	0
Narucila sam beliku kapricozuci bila sam veoma razocarana ukusom, i ja  i moje drustvo. Takodje smo cekali duze nego sto je receno.	0
Strasno je da vec drugi put cekam hranu preko 90 minuta iako je receno 45, nekada je bila vrhunska lepinja uz meso, sada je neko uzasno parce hleba, mislim da mi je dosta	0
Na sajtu je pisalo prihvaceno u 10:11  30 min...a stiglo je tek u 11	0
Čekati 1,5h na prosečnu hranu	0
Hrana odlicna, jeftina, dostava za manje od pola sata. Bez mane	1
Apsolutno fantasticna hrana! Sve izgleda kao na slici.Izuzetno ukusno. Vreme za dostavu 60 min, a stiglo za 30 min. Sve pohvale !	1
Vec treci put dobijam zivo testo. Do sada nisam pisao, od sada vise nema smisla ni porucivati.	0
Realno, nisam jeo bolje u Novom Sadu :) Odlicna hrana, brza dostava, sasvim pristojne cene. Preporuka za sve :)	1
Gumeno i zivkasto testo. Doduse fil je bio ok.	0
Kako smo ocekivali i nije nesto.Cevapi i krompir kao podgrejani,a i svi prilozi se prosuli i razlili po kutiji.dostava je kasnila vise od pola sata nego sto je bilo napisano.Tako da nikad vise !!!	0
Kao i uvek :)	1
Ukusno i brzo.	1
Naručio sa goveđom pršutom, fenomenalna pica i dostava je brza, pisalo je za 45min doneo je za 30min.	1
zaobidjite	0
:) super kao uvek	1
Hrana je korektna i ok spremljena, međutim biftek je premali a dve kriške krompira i tikvica se teško mogu nazvati prilogom tako da je opšti utisak bio vrlo negativan.	0
narucio veliku vezuvio. sunke u tragovima, sir nekvalitetan (tesko pokvario stomak). dostavljac ljubazan, nemam zamerke. nikada vise.	0
Sarma solidna, pohovana piletina odlicna	1
Bez ikakvog obrazloženja.	0
Perfektno kao i uvek. Pica savršena, isporuka ispod 40 minuta.	1
ovako dobru klopu da sanjaš ne bi usnio to što je na meniju znalački je spremljeno i isporuka je brža nego što je navedeno cena pravedna veoma prijatno iznenadjenje	1
nista posebno. fali zacina	0
Kao i uvek	1
Rekoh stavite origano ovaj put, ali to ne znaci da bude 10cm sloja istog. :D Ostalo, sve kul. :)	1
Kvalitetna hrana koja je nazalost stigla sa dva sata zakasnjenja nakon direktnog poziva i podsecanja restorana na nasu porudzbinu.	0
Pica je jako dobra, malo se ohladila ali bila je ukusna. Dostava na vreme i dostavljac veoma ljubazan. Cena korektna.	1
Poslednji put su doneli batake zagorele. Stavili pavlake 3 kile u lepinju, meso se nije ni osetilo.	0
"prema ceni od 670 din za dva sendvica,za koja sam mislio da su mnogo veca a dobih blago receno ""sendvicic"", i dva pomfrita dosta skupo.."	0
Kao i uvek top :)	1
Sendvici su super!!! palacinka najgadnija koju sam ikada probao!!! bukvalno je bila toliko tvrda, hvladna i odvratna da sam je nakon 2 zalogaja bacio. rostilj nista specijalno.....	0
Kao i svaki put, usluga odlična, hrana topla i ukusna. Sigurno ću nastaviti da naručujem od vas	1
stiglo pre naznacenog vremena, odlicno upakovane i jako ukusne	1
hrana je stigla u okviru procenjenog vremena topla i preukusna! sve pohvale i preporuke, sigurno cemo opet narucivati	1
svaki put kasne i evo jos nije stigla pica.rekli 40min proslo sat vremena i nista.	0
odlicni su ,  a moj smotani brat je zaboravio da ostavi napojnicu :(	1
Narucio sam veliko mijesano meso i mogu samo reci da sam odusevljen. Prvi put sam narucio u Zaricevom vajatu i nisam se pokajao. Svaka cast	1
Dosta mesa i sjajan ukus. Svaka preporuka.	1
"Ukusno, ispostovane sve ""zelje i cestitke"", svaka preporuka"	1
Narucio pikante dobio capricciosa picu.	0
Naruchila sam piletinu sa ananasom+ rolnice +pirinach. Piletina je bila vrela da ne poverujes. Hrana je super i brzo je stigla sem toga naruchila sam i banana split odlichno je	1
Obe pohovane palačinke najveće koje sam ja za taj novac videla, odlično napunjene, odlično spakovano....slatka takođe odlična	1
Veoma mala palacinka za tu cenu. Plazma posuta na palacinkama, a ne unutra.	0
Ili su prestali da se trude ili su ranije dostavljali sa autokomande.	0
Becka snicla presoljena i previse przena. Muckalica isto sa previse soli. Lovacka snicla OK. Narucio neljute paprike u ulju, doneli mi ljute...	0
Cool pizza!	1
Dostava je kasnila 35 minuta.	0
narucena ljuta diavola , ljutaaaa bre :D  ali taman po nasem ukusu , svaka cast :D brza dostava pre navedenog vremena , ljubazna usluga	1
Vrlo ljubazan dostavljač,brza isporuka. Meso odlučno. Sve pohvale!	1
Spas posle 22h po vrlo korektnoj ceni! ;)	1
odlicno i brzo!	1
Extra! :-)	1
hrana je bila odlicna,nemam losih utisaka,pica pecena nista zivo i zilavo prosto odlicno!	1
Porudzbina kasnila vise od pola sata a pizza se skamenila	0
Uopšte nisam dobio Mimoza sendvič...	0
Jeli smo i bolje kod vas. Neslano i masno, a umesto sosa samo pavlaka. Dostava pre vremena.	0
Odlicna pizza, brza dostava. Za svaku preporuku	1
sve je bilo odlicno sem gurmanske pljeskavice u kojoj sam nalazio neke  zile mesa. Sto se tice kobasica i punjenog pileceg filea, vrhunsko je!	1
Restoran kasni sa dostavom..	0
Mislim da ove ljude vise ni ne treba komentarisati. Doktorirali su kinesku klopu. Ukusne i bogate porcije, nikad gladan ostao nisam a neretko mi je ostajalo. Uvek sveže i na vreme. Svaka cast!!!	1
Pa, lose. ;D	0
MNOGO DOBRO PUNO BAS	1
for the second time, bad food quality, i will not order anymore	0
Pice su jako male u odnosu na cenu i testo preovladava. Salatu su zaboravili da stave preko pice iako su je naplatili. Brzina dostave je jako tacna. Ne verujem da cu vise narucivati iz ove picerije.	0
Greskom u kominikaciji (portal-restoran/restoran-kuhinja/restoran-dostava) je klopa stigla sa 20 min zakasnjenja pa je najverovatnije zato kvalitet istrpeo	0
Izvrsno uradjeno sa perfektnim sklopom ukusa. Sve pohvale !	1
ima dosta boljih restorana ovde.	0
Narucila sam hrane samo da ispunim 500 din za dostavu, dostavljeno u roku od sat vemena, dobila gomilu preukusne kuvane hrane, rucak za dvoje za 500din savrseno!!	1
Najmanja pics za najvise para u gradu.	0
Nema maslina, nema paprike, nema kukuruza...	0
Male porcije, doduše nije skupo, ali očekivali smo više kad smo poručili veliku porciju pasulja, koji je uz to stigao tek mlak. Ukus osrednji. Ne preporučujemo.	0
Sve je savršeno ..porcije su velike..brza dostava a cena je pristojna	1
Dostava malo zakasnila, porcija prevelika, meso I lepinja korektni, malo fila, sve u svemu koliko para toliko muzike!	0
Nije mi se dopala piletina sa sirom i pecenicom. Ogrroman komad glomaznog pileta.	0
Porcije male za tu cenu, stedi se na mesu, a hrana vise kao srpska, nego kineska (vise ima ukus na gulas).	0
ovog puta smo se oprobali u kuvanim jelima i pasulj je stvarno odlican i porcija je i vise nego dovoljna za jednu osobu.	1
Giros im je odlican, ali morate ih nazvati da potvrdite narudzbinu posto znaju cesto da zaborave, a vi cekate kuci.	0
Ništa nije stiglo.	0
Dostava u predviđeno vreme. Hrana veoma dobra. Dupli giros je stvarno veliki. Sve najbolje preporuke na klopu.	1
Hrana u restoranu i dostava nemaju veze jedno sa drugim. Porcije su dosta manje i kvalitet je losiji. Uzimajuci u obzir i cenu koja nije mala, hrana je bila razocarenje.	0
Hrana je zadovoljavajuca,medjutim kasnjenje sa dostavom je nevjerovatno...Nikako mi ne ide u glavu da im za omlet i tortilje treba preko 60 min.	0
Hrana je stigla za 35 minuta. Jako je ukusna, jedna slana palačinka je sasvim dovoljna za jednu odraslu osobu.	1
Moje omiljeno mesto za naručivanje roštilja!	1
kakav je ovo giros? sve komponente se dobijaju odvojeno! sta, treba sam da ga pravim?	0
Ukus je odlican, lepinja je bila malo suva. Nadam se da nije uvek tako.	1
Nista posebno, tanka kora, fil je ok ali pretanka kora i savija se.	0
Najbolji !!!	1
odlican rizoto	1
Sve naj kao i uvek ali ovo sto se retko desava desilo se veceras, zaboravili su da stave kecap na pomfrit a narucili smo tri komada ! Sram Vas bilo ! :)	1
Stvarno sve preporuke	1
sve pohvale.... zaista vrhonsko testo i nadevi. cista desetka.	1
Narucili smo pohovani kackavalj, stiglo je toplo i na vreme.Porcija je ogromna, lepinja odlicna. Sve u svemu prezadovoljni smo, druzicemo se cesce. Sve pohvale za jako ljubaznog dostavljaca.	1
nema poente da pisem vise,samo prebrojte koliko sam puta napisao utiske.	1
Mangiare piletina pffff nesto najbolje ikad. Ok je mangiare. Narucujemo s vremena na vreme. Bilo bi slika da nismo sve odmah slistili...	1
U cezar salati 3 kockice mesa a nije jeftina	0
Kolko god puta porucili uvek je stiglo nesto pogresno... Ili pogresna porudzbina ili (jos cesce) neka od porcija je nedostajala! Neodgovorno i neprofesionalno.	0
sklonite prasetinu s raznja s jelovnika kad je nemate, pogotovo na vaskrs/prvi maj. 5 puta sam je narucio u poslednjih 2 meseca, svih 5 puta su me zvali da zamene necim drugim.	0
Kao i uvek, vrlo ukusno (susi i donburi piletina), restoran i meni za svaku pohvalu.	1
Odlican rostilj, bravo ! :)	1
Hrana je dobra ali su kasnili 20 minuta...	0
Porcije obimna, kvalitet hrane dobar, bez zamerke!	1
fantasticno	1
Trebalo im je sat vremena da dodju iako smo na 15 minuta autom. Kad je hrana stigla, bila je kao da je od juče, hladna i prehladna. Hvala i nikad vise!	0
Isporuka super, hrana je bezukusna. Ne znam da li je do kuvara ili sastojaka. Za ovu cenu mora 3puta bolje.	0
Pohvaljujem brzu dostavu. Odlicno jelo.	1
Najcesce ovde narucujem kinesku hranu, i uvek sam zadovoljan, pohvale.	1
Street se za sada pokazao kao odlican. Porcije su velike, karbonare koje sam do sada narucivao su stvarno obilne i ukusne, a sopska salata sveza i dobra. Jos jedna preporuka za ovaj restoran.	1
Nije loše. Vlasnicima bi sugerisao da bolje pakuju obroke kako se ne bi razlivali sosevi.	0
Giros porcija je bila OK po količini i kvalitetu. Mesa i pomfrita je bilo dovoljno, u skladu sa cenom i bilo je dobro pripremljeno, ali je salate i tortilje bilo malo.	1
45 minuta se pretvorila vise od 60 minuta dostave!!!! Nemojte narucivati ako ste bas gladni ili se pripremite za minumum 60 minuta cak i ako vam pise manje! Ja znam da vise necu narucivati!	0
