masa,jastuk,pojas,ceoni,pol,starost,godina,tip,ishod
149.9459999986,da,da,1,z,16,2002,vozac,0
329.2299999967,da,ne,1,m,29,1999,vozac,0
712.4509999976,da,da,0,z,38,1996,vozac,1
71.7059999993,ne,ne,1,m,36,1990,vozac,2
11.7829999999,ne,da,0,z,49,1985,putnik,2
2389.0259999931,da,da,1,z,20,1996,vozac,1
1909.7929999977,da,da,1,m,35,1998,vozac,0
16.1909999999,da,da,1,m,34,2000,vozac,2
53.5809999998,ne,da,1,z,19,1988,vozac,2
30.2899999998,da,da,1,z,73,1997,vozac,1
10.7609999999,da,da,0,z,75,1998,vozac,2
1302.6609999985,da,da,0,z,42,2001,vozac,0
,ne,da,0,z,32,1990,vozac,1
127.6159999995,da,da,0,m,18,1998,vozac,0
26.0909999998,ne,da,1,m,22,1987,vozac,0
1038.6649999917,da,ne,1,m,55,1996,vozac,0
2330.7339999974,ne,da,1,z,17,1986,vozac,1
750.6819999963,da,ne,1,m,22,2001,vozac,1
4948.1509999633,da,ne,0,m,31,1994,vozac,0
0,da,ne,0,m,31,1998,putnik,1
75.9809999997,da,da,0,m,35,1998,vozac,2
246.9479999989,da,da,1,z,74,2002,vozac,2
63.1239999998,ne,da,1,m,20,1989,vozac,2
287.7909999974,da,da,1,m,52,2000,vozac,0
1026.3689999878,ne,da,1,z,18,1992,putnik,0
1075.5549999923,ne,ne,0,m,16,1988,vozac,1
470.4609999992,ne,ne,1,m,30,1983,vozac,0
482.0929999985,da,ne,1,m,34,1999,vozac,0
30.7089999998,ne,da,0,z,17,1989,vozac,2
1611.8619999886,da,da,0,z,21,1995,putnik,0
193.7939999998,da,,0,z,47,2002,vozac,1
38.5949999997,ne,da,1,z,17,1990,putnik,1
5.187,ne,da,1,z,44,1989,vozac,2
733.9699999988,ne,da,0,m,43,1986,vozac,0
534.1329999939,da,da,0,z,32,2001,putnik,1
4845.9749999642,ne,ne,1,z,20,1991,putnik,1
45.2479999997,ne,ne,0,z,29,1990,vozac,3
547.5169999972,da,da,1,m,35,2001,vozac,
37.4329999997,da,ne,1,m,25,2001,vozac,2
4748.3229999542,da,da,1,z,38,1999,vozac,0
198.5909999982,da,da,0,z,29,1999,vozac,2
3613.5649999976,ne,ne,1,m,26,1994,vozac,0
380.4579999968,da,da,0,,22,1998,vozac,0
91.4269999992,ne,ne,1,m,33,1987,vozac,2
602.8239999935,da,da,0,m,31,1995,vozac,2
86.2209999999,ne,ne,0,z,59,1991,putnik,2
4.148,da,da,0,z,26,1999,putnik,1
867.1469999999,da,da,1,z,27,1992,vozac,1
146.3329999987,da,ne,1,z,21,1999,vozac,2
21.3429999999,da,da,0,m,62,1992,vozac,0
